9.1387 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
65.3964 	EXP 	fixation: autoDraw = True
66.3962 	EXP 	fixation: autoDraw = False
66.3962 	EXP 	grating: autoDraw = True
66.6982 	EXP 	grating: autoDraw = False
66.8820 	EXP 	New trial (rep=10, index=0): None
66.8833 	DATA 	Keypress: up
66.8962 	EXP 	fixation: autoDraw = False
66.8962 	EXP 	grating: autoDraw = False
66.8962 	EXP 	grating: ori = 0.0
66.8962 	EXP 	fixation: autoDraw = True
67.8800 	EXP 	grating: autoDraw = True
67.8961 	EXP 	fixation: autoDraw = False
68.1797 	EXP 	grating: autoDraw = False
68.5022 	EXP 	New trial (rep=11, index=0): None
68.5053 	DATA 	Keypress: up
68.5128 	EXP 	fixation: autoDraw = False
68.5128 	EXP 	grating: autoDraw = False
68.5128 	EXP 	grating: ori = 0.0
68.5128 	EXP 	fixation: autoDraw = True
69.5128 	EXP 	fixation: autoDraw = False
69.5128 	EXP 	grating: autoDraw = True
69.8127 	EXP 	grating: autoDraw = False
70.1190 	EXP 	New trial (rep=12, index=0): None
70.1227 	DATA 	Keypress: up
70.1293 	EXP 	fixation: autoDraw = False
70.1293 	EXP 	grating: autoDraw = False
70.1293 	EXP 	grating: ori = -4.0
70.1293 	EXP 	fixation: autoDraw = True
71.1294 	EXP 	fixation: autoDraw = False
71.1294 	EXP 	grating: autoDraw = True
71.4297 	EXP 	grating: autoDraw = False
71.5841 	EXP 	New trial (rep=13, index=0): None
71.5859 	DATA 	Keypress: down
71.5959 	EXP 	fixation: autoDraw = False
71.5959 	EXP 	grating: autoDraw = False
71.5959 	EXP 	grating: ori = 0.0
71.5959 	EXP 	fixation: autoDraw = True
72.5985 	EXP 	fixation: autoDraw = False
72.5985 	EXP 	grating: autoDraw = True
72.9127 	EXP 	grating: autoDraw = False
73.2395 	EXP 	New trial (rep=14, index=0): None
73.2406 	DATA 	Keypress: down
73.2458 	EXP 	fixation: autoDraw = False
73.2458 	EXP 	grating: autoDraw = False
73.2458 	EXP 	grating: ori = 0.0
73.2458 	EXP 	fixation: autoDraw = True
74.2457 	EXP 	fixation: autoDraw = False
74.2457 	EXP 	grating: autoDraw = True
74.5458 	EXP 	grating: autoDraw = False
79.1163 	DATA 	Keypress: up
79.1365 	EXP 	New trial (rep=15, index=0): None
79.1455 	EXP 	fixation: autoDraw = False
79.1455 	EXP 	grating: autoDraw = False
79.1455 	EXP 	grating: ori = 4.0
79.1455 	EXP 	fixation: autoDraw = True
80.1453 	EXP 	fixation: autoDraw = False
80.1453 	EXP 	grating: autoDraw = True
80.4455 	EXP 	grating: autoDraw = False
80.8994 	EXP 	New trial (rep=16, index=0): None
80.9012 	DATA 	Keypress: down
80.9117 	EXP 	fixation: autoDraw = False
80.9117 	EXP 	grating: autoDraw = False
80.9117 	EXP 	grating: ori = 0.0
80.9117 	EXP 	fixation: autoDraw = True
81.9119 	EXP 	fixation: autoDraw = False
81.9119 	EXP 	grating: autoDraw = True
82.2118 	EXP 	grating: autoDraw = False
82.6442 	EXP 	New trial (rep=17, index=0): None
82.6463 	DATA 	Keypress: up
82.6654 	EXP 	fixation: autoDraw = False
82.6654 	EXP 	grating: autoDraw = False
82.6654 	EXP 	grating: ori = 2.0
82.6654 	EXP 	fixation: autoDraw = True
83.6453 	EXP 	grating: autoDraw = True
83.6787 	EXP 	fixation: autoDraw = False
83.9451 	EXP 	grating: autoDraw = False
85.5511 	EXP 	New trial (rep=18, index=0): None
85.5548 	DATA 	Keypress: down
85.5615 	EXP 	fixation: autoDraw = False
85.5615 	EXP 	grating: autoDraw = False
85.5615 	EXP 	grating: ori = 0.0
85.5615 	EXP 	fixation: autoDraw = True
86.5615 	EXP 	fixation: autoDraw = False
